Anger,Boredom,Calm,Contempt,Disgust,Excitement,Fear,Frustration,Happiness,Neutral,Pride,Sadness,Surprise
Furious,Apathetic,Peaceful,Scornful,Nauseated,Eager,Terrified,Annoyed,Joyful,Calm,Confident,Melancholy,Astonished
Livid,Disinterested,Tranquil,Disdainful,Repulsed,Thrilled,Scared,Irritated,Ecstatic,Relaxed,Arrogant,Heartbroken,Stunned
Enraged,Unmotivated,Relaxed,Disrespectful,Grossed out,Excited,Afraid,Exasperated,Content,Indifferent,Self-assured,Mournful,Shocked
Mad,Dull,Serene,Mocking,Revolted,Exhilarated,Frightened,Agitated,Cheerful,Unmoved,Egoistic,Sorrowful,Dumbfounded
Irritated,Listless,Composed,Sneering,Sickened,Ecstatic,Horrified,Angered,Elated,Nonchalant,Proud,Grief-stricken,Amazed
Outraged,Lethargic,Collected,Contemptuous,Displeased,Energetic,Panic,Vexed,Delighted,Detached,Self-satisfied,Downhearted,Startled
Infuriated,Indifferent,Still,Derisive,Contaminated,Pumped,Alarmed,Displeased,Pleased,Composed,Boastful,Despondent,Flabbergasted
Annoyed,Tired,Unperturbed,Condescending,Distasteful,Joyful,Anxious,Disappointed,Radiant,Serene,Conceited,Depressed,Baffled
Fuming,Monotonous,Quiet,Arrogant,Abhorrent,Delighted,Nervous,Impatient,Euphoric,Unperturbed,Vainglorious,Blue,Bewildered
Wrathful,Bland,Soothing,Superior,Loathing,Enthusiastic,Apprehensive,Furious,Jovial,Stable,Self-important,Dismal,Dumbstruck
Agitated,Uninspired,Calm,Patronizing,Disgusted,Elated,Horrified,Infuriated,Happy,Content,Overconfident,Forlorn,Speechless
Exasperated,Dismal,Gentle,Sarcastic,Offended,Bubbly,Startled,Upset,Merry,Peaceful,Haughty,Gloomy,Stupefied
Vexed,Unexcited,Mellow,Disparaging,Horrified,Vibrant,Terrorized,Anguish,Exuberant,Unfazed,Vain,Disheartened,Surprised
Infuriated,Uninvolved,Easygoing,Haughty,Abhorrence,Cheerful,Shocked,Fuming,Overjoyed,Balanced,Narcissistic,Desolate,Taken aback
Incensed,Weary,Stable,Insulting,Repelled,Lively,Apprehensive,Tense,Satisfied,Even-tempered,Immodest,Crestfallen,Shaken
Hostile,Stale,Smooth,Belittling,Revulsion,Animated,Fearful,Frustrated,Grateful,At ease,Elated,Woeful,Aghast
Mad as a hornet,Jaded,Laid-back,Critical,Unpleasant,Exuberant,Dreadful,Disturbed,Sunny,Tranquil,Gratified,Unhappy,Overwhelmed
Irate,Blah,Unruffled,Despising,Shocking,Vivid,Spooked,Bitter,Bubbly,Bland,Honored,Lugubrious,In disbelief
Raging,Unenthusiastic,Relaxing,Snide,Unappealing,Jubilant,Uneasy,Worn-out,Lively,Unexcited,Accomplished,Dismayed,Unbelievable
Seething,Bored,Unexcitable,Judgmental,Foul,Zestful,Worried,Exhausted,Gleeful,Uninterested,Pompous,Tearful,In awe
Boiling,Indifferent,Restful,Nasty,Vile,Optimistic,Jittery,Irritable,Glad,Unaffected,Dignified,Doleful,Confounded
Ticked off,Lackluster,Balanced,Dismissive,Sick,Overjoyed,Disturbed,Frantic,In high spirits,Mild,Venerated,Dispirited,Appalled
Cross,Languid,Harmonious,Scathing,Displeasing,High-spirited,Tense,Testy,Laughing,Moderate,Satisfied,Heavy-hearted,Surreal
Aggrieved,Disengaged,Calming,Offensive,Repelling,Energetic,Shaking,Enraged,Thrilled,Unconcerned,High-minded,Wretched,Startling
Angry,Drowsy,Restored,Snobbish,Appalling,Passionate,Sweating,Dismayed,Blissful,Steady,Distinguished,Low-spirited,In shock
Fretful,Unenergetic,Moderate,Contempt,Ghastly,Fired-up,Paranoid,Outraged,Carefree,Emotionless,Superior,Sorrowing,Astounded
Upset,Tiring,Serenity,Indifferent,Detestable,Riled-up,Hesitant,Livid,Exhilarated,Stable-minded,Egocentric,Glum,Flummoxed
Hot under the collar,Unexciting,Peace,Supercilious,Revolting,Intense,Timid,Frenzied,Optimistic,Level-headed,Chauvinistic,Downcast,Perplexed
On edge,Flat,Gentleness,Unconcerned,Unbearable,Ravished,Jumpy,Fretful,Chipper,Unemotional,Complacent,Depressed,Shocking
Frenzied,Humdrum,Dulcet,Cynical,Horrid,Amazed,Trembling,Distressed,Buoyant,Dispassionate,Exalted,Inconsolable,Incredible
Resentful,Lack of interest,Subdued,Pompous,Putrid,Elated,Overwhelmed,Resentful,Uplifted,Composed,Ambitious,Bitter,Dazed
Violent,Exhausted,Even-tempered,Snooty,Nasty,Overexcited,Fear-stricken,Peeved,Beaming,Neutralized,Magnificent,Hopeless,Surprise
Riled,Depressed,Unflustered,Scorn,Vile,Euphoric,Fearful,Vexing,Jubilant,Unflustered,Prestigious,Sad,Mind-blowing
Wrath,Burned out,Silent,Derision,Disgusting,Hyped,Creeped out,Troubled,Proud,Unmoved,Flattered,Pained,Unforeseen
Vehement,Unconcerned,Peaceably,Rude,Unclean,Bouncing,Dismayed,Ruffled,Alive,Distant,Self-regarding,Grief,Unexpected
Indignant,Inactive,Content,Irritable,Obnoxious,Active,Petrified,Mad,Zestful,Cool-headed,Boasting,In sorrow,Astonishing
Spiteful,Listlessness,Steady,Disparage,Grotesque,Raucous,Nervy,Discontent,Lighthearted,Meh,Victorious,Weeping,Unusual
Bitter,Blah mood,Mindful,Detracting,Detestable,Upbeat,Unsettled,Aggravated,Upbeat,Unenthusiastic,Dominant,Distressed,Incomprehensible
Scornful,Tiredness,Undisturbed,Disrespect,Noxious,Vigorous,Chilled,Impetuous,Charmed,Unbiased,Triumphant,Shattered,Shocker
Indignant,Inattentive,Reposeful,Sarcasm,Offensive,Frenzied,Shuddering,Disgruntled,Tickled pink,Flat,Admired,Unfulfilled,Dumbfounding
Mad as hell,Slack,Soothed,Condescending tone,Filthy,Alive,Skeptical,Frayed,Rapturous,Undisturbed,Self-satisfied,Lonely,Jolted
Offended,Tiring,Cool,Haughty attitude,Disgraceful,Giddy,Hasty,Stressed,In a good mood,Equilibrium,Lauded,Morose,Confused
Fuming mad,Heavy-hearted,Sublime,Scornful laughter,Foul-smelling,Cheerful mood,Wary,Dissatisfied,On cloud nine,Non-reactive,Haughty attitude,Blue mood,Incredible
Red-faced,Dispassionate,Tranquillity,Sneer,Rank,Fulfilling,Terrifying,Tense mood,Pumped,Stoic,Self-respecting,Lifeless,Flabbergasting
